"Security_ID","BDC_Name","FV_Percentage_Cost","FV_Per_Par","Non_Accrual","Security_Type","Non_Qualifying","Loan_Tenure","FV_Percentage_Cost_Q1","FV_Per_Par_Q1","Non_Accrual_Q1","Security_Type_Q1","Non_Qualifying_Q1","Loan_Tenure_Q1","FV_Percentage_Cost_Q2","FV_Per_Par_Q2","Non_Accrual_Q2","Security_Type_Q2","Non_Qualifying_Q2","Loan_Tenure_Q2"
"'5d564e22bc924","Venture Lending & Leasing IX, Inc.","100","97.955","0","First Lien Senior Secured","0","-20","100","97.675","0","First Lien Senior Secured","0","-20","100","97.405","0","First Lien Senior Secured","0","-20"
"'591d34a7da730","Golub Capital BDC, Inc","98.1","97.99","0","First Lien Senior Secured","0","-16","86.145","85","1","First Lien Senior Secured","0","-52","84.96","84.995","1","First Lien Senior Secured","0","-52"
"'5aafd3aae0512","Newtek Business Services Corp.","","97.65","0","First Lien Senior Secured","0","27","","97.7","0","First Lien Senior Secured","0","27","","95.56","0","First Lien Senior Secured","0","27"
"'5d42963a6bac0","Sixth Street Specialty Lending, Inc.","107.665","112.35","0","First Lien Senior Secured","0","-4","109.85","114.535","0","First Lien Senior Secured","0","-4","102.83","106.335","0","First Lien Senior Secured","0","-4"
"'591ade555362b","Bain Capital Specialty Finance, Inc","86.07","86","0","First Lien Senior Secured","0","-23","82.64","82.5","0","First Lien Senior Secured","0","-23","79.44","79.25","0","First Lien Senior Secured","0","-23"
"'5b6a8c5f55935","Portman Ridge Finance Corporation","115.93","97.2","0","First Lien Senior Secured","0","-10","115.51","95.53","0","First Lien Senior Secured","0","-10","","","0","","0",""
"'5fffd7f1ab343","Hercules Capital, Inc.","100.79","99.64","0","First Lien Senior Secured","0","-27","100.9","99.52","0","First Lien Senior Secured","0","-27","99.355","97.93","0","First Lien Senior Secured","0","-27"
"'5f33c5f7a8c2d","Newtek Business Services Corp.","","","0","","0","","","100","0","First Lien Senior Secured","0","-39","","100","0","First Lien Senior Secured","0","-39"
"'5a04641c30ec0","Newtek Business Services Corp.","101.33","101.33","0","First Lien Senior Secured","0","24","96.75","96.75","0","First Lien Senior Secured","0","24","94.97","94.97","0","First Lien Senior Secured","0","24"
"'5eb529f577d75","Nuveen Churchill Direct Lending Corp.","101.535","100.055","0","First Lien Senior Secured","0","-15","100.925","99.37","0","First Lien Senior Secured","0","-15","100.06","98.375","0","First Lien Senior Secured","0","-15"
"'5e70792f6e107","Venture Lending & Leasing IX, Inc.","100","96.236666666667","0","First Lien Senior Secured","0","-33","100","95.783333333333","0","First Lien Senior Secured","0","-33","100","95.056666666667","0","First Lien Senior Secured","0","-33"
"'5e70d43544ca8","Newtek Business Services Corp.","83.49","83.49","0","First Lien Senior Secured","0","51","83.62","83.62","0","First Lien Senior Secured","0","51","79.45","79.45","0","First Lien Senior Secured","0","51"
